Protein,Rank,Ligand_File,CID,Best_Affinity,Ligand Name,SMILES,Molecular Weight,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms
AF-Q9LIK9-F1-model_v6,74,102 Conformer3D_COMPOUND_CID_2230_out.pdbqt,2230,-5.342,"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate",COC(=O)C1=CCCN(C)C1,155.2,0.42,29.54,3,0,1,0,11
AF-Q9LIK9-F1-model_v6,75,20 Conformer3D_COMPOUND_CID_15155596_out.pdbqt,15155596,-5.341,"2-(sulfamoylamino)-4,5-dihydro-1,3-thiazole",NS(=O)(=O)NC1=NCCS1,181.24,-1.12,84.55,4,2,1,0,10
AF-Q9LIK9-F1-model_v6,76,46 Conformer3D_COMPOUND_CID_49849878_out.pdbqt,49849878,-5.319,"deuterio-(2,3,4,5-tetradeuterio-6-deuteriooxyphenyl)methanone",[2H]Oc1c([2H])c([2H])c([2H])c([2H])c1C([2H])=O,128.16,1.2,37.3,2,1,2,1,9
AF-Q9LIK9-F1-model_v6,77,103 Conformer3D_COMPOUND_CID_87310_out.pdbqt,87310,-5.308,(2R)-2-amino-3-prop-2-enylsulfinylpropanoic acid,C=CC[S@](=O)C[C@H](N)C(=O)O,177.22,-0.67,80.39,3,2,5,0,11
AF-Q9LIK9-F1-model_v6,78,118 Conformer3D_COMPOUND_CID_15070_out.pdbqt,15070,-5.281,pyridine-2-carboxamide,NC(=O)c1ccccn1,122.13,0.18,55.98,2,1,1,1,9
AF-Q9LIK9-F1-model_v6,79,68 Conformer3D_COMPOUND_CID_135503978_out.pdbqt,135503978,-5.26,(Z)-[3-aminopropyl(propyl)amino]-hydroxyimino-oxidoazanium,CCCN(CCCN)/[N+]([O-])=N/O,176.22,0.31,87.92,3,2,6,0,12
AF-Q9LIK9-F1-model_v6,80,115 Conformer3D_COMPOUND_CID_936_out.pdbqt,936,-5.229,pyridine-3-carboxamide,NC(=O)c1cccnc1,122.13,0.18,55.98,2,1,1,1,9
AF-Q9LIK9-F1-model_v6,81,6 Conformer3D_COMPOUND_CID_71380130_out.pdbqt,71380130,-5.158,"1,1,1-trichloro-2-(dimethylsulfamoylimino)ethane",CN(C)S(=O)(=O)N=CC(Cl)(Cl)Cl,253.54,1.23,49.74,2,0,2,0,12
AF-Q9LIK9-F1-model_v6,82,119 Conformer3D_COMPOUND_CID_938_out.pdbqt,938,-5.128,pyridine-3-carboxylic acid,O=C(O)c1cccnc1,123.11,0.78,50.19,2,1,1,1,9
AF-Q9LIK9-F1-model_v6,83,5 Conformer3D_COMPOUND_CID_71383291_out.pdbqt,71383291,-4.946,[trimethylsilyl(trimethylsilylsulfamoyl)amino]methane,CN([Si](C)(C)C)S(=O)(=O)N[Si](C)(C)C,254.5,1.42,49.41,2,1,4,0,14
AF-Q9LIK9-F1-model_v6,84,64 Conformer3D_COMPOUND_CID_6331148_out.pdbqt,6331148,-4.683,N-(diethylamino)-N-oxidonitrous amide,CCN(CC)N([O-])N=O,132.14,0.72,58.97,4,0,4,0,9
AF-Q9LIK9-F1-model_v6,85,66 Conformer3D_COMPOUND_CID_135406888_out.pdbqt,135406888,-4.676,(Z)-diethylamino-hydroxyimino-oxidoazanium,CCN(CC)/[N+]([O-])=N/O,133.15,0.59,61.9,2,1,3,0,9
AF-Q9LIK9-F1-model_v6,86,69 Conformer3D_COMPOUND_CID_6331148 (1)_out.pdbqt,6331148,-4.568,N-(diethylamino)-N-oxidonitrous amide,CCN(CC)N([O-])N=O,132.14,0.72,58.97,4,0,4,0,9
AF-Q9LIK9-F1-model_v6,87,113 Conformer3D_COMPOUND_CID_996_out.pdbqt,996,-4.529,phenol,Oc1ccccc1,94.11,1.39,20.23,1,1,0,1,7
AF-Q9LIK9-F1-model_v6,88,73 Conformer3D_COMPOUND_CID_1269845_out.pdbqt,1269845,-4.447,2-sulfanylidene-1H-pyrimidin-4-one,O=c1cc[nH]c(=S)[nH]1,128.16,0.43,48.65,2,2,0,1,8
AF-Q9LIK9-F1-model_v6,89,93 Conformer3D_COMPOUND_CID_655_out.pdbqt,655,-4.235,diethoxy-hydroxy-sulfanylidene-lambda5-phosphane,CCOP(O)(=S)OCC,170.17,1.28,38.69,3,1,4,0,9
AF-Q9LIK9-F1-model_v6,90,79 Conformer3D_COMPOUND_CID_24955_out.pdbqt,24955,-4.16,1H-imidazole-2-carbaldehyde,O=Cc1ncc[nH]1,96.09,0.22,45.75,2,1,1,1,7
AF-Q9LIK9-F1-model_v6,91,101 Conformer3D_COMPOUND_CID_248_out.pdbqt,248,-4.121,carboxymethyl(trimethyl)azanium,C[N+](C)(C)CC(=O)O,118.16,-0.22,37.3,1,1,2,0,8
AF-Q9LIK9-F1-model_v6,92,100 Conformer3D_COMPOUND_CID_247_out.pdbqt,247,-4.076,2-(trimethylazaniumyl)acetate,C[N+](C)(C)CC(=O)[O-],117.15,-1.56,40.13,2,0,2,0,8
AF-Q9LIK9-F1-model_v6,93,17 Conformer3D_COMPOUND_CID_139618_out.pdbqt,139618,-3.992,Not available,O=S=NSN=S=O,156.21,0.34,58.86,5,0,2,0,7
AF-Q9LIK9-F1-model_v6,94,84 Conformer3D_COMPOUND_CID_53438496_out.pdbqt,53438496,-3.98,2-diazoacetic acid,N#[N+]C=C([O-])O,86.05,-0.44,71.44,3,1,0,0,6
AF-Q9LIK9-F1-model_v6,95,95 Conformer3D_COMPOUND_CID_25581_out.pdbqt,25581,-3.922,2-methylpropoxymethanedithioic acid,CC(C)COC(=S)S,150.27,1.87,9.23,2,1,2,0,8
AF-Q9LIK9-F1-model_v6,96,3 Conformer3D_COMPOUND_CID_77385_out.pdbqt,77385,-3.899,N-dimethylsulfinamoyl-N-methylmethanamine,CN(C)S(=O)N(C)C,136.22,-0.31,23.55,1,0,2,0,8
AF-Q9LIK9-F1-model_v6,97,18 Conformer3D_COMPOUND_CID_82267_out.pdbqt,82267,-3.788,sulfamide,NS(N)(=O)=O,96.11,-1.85,86.18,2,2,0,0,5
AF-Q9LIK9-F1-model_v6,98,57 Conformer3D_COMPOUND_CID_753_out.pdbqt,753,-3.76,"propane-1,2,3-triol",OCC(O)CO,92.09,-1.67,60.69,3,3,2,0,6
AF-Q9LIK9-F1-model_v6,99,99 Conformer3D_COMPOUND_CID_1118_out.pdbqt,1118,-3.722,sulfuric acid,O=S(=O)(O)O,98.08,-0.65,74.6,2,2,0,0,5
AF-Q9LIK9-F1-model_v6,100,92 Conformer3D_COMPOUND_CID_6405_out.pdbqt,6405,-3.709,2-methylbutan-2-ol,CCC(C)(C)O,88.15,1.17,20.23,1,1,1,0,6
AF-Q9LIK9-F1-model_v6,101,22 Conformer3D_COMPOUND_CID_1117_out.pdbqt,1117,-3.581,sulfate,O=S(=O)([O-])[O-],96.06,-1.34,80.26,4,0,0,0,5
AF-Q9LIK9-F1-model_v6,102,75 Conformer3D_COMPOUND_CID_108022_out.pdbqt,108022,-3.567,2-nitrososulfanylethanol,O=NSCCO,107.13,0.39,49.66,4,1,3,0,6
AF-Q9LIK9-F1-model_v6,103,76 Conformer3D_COMPOUND_CID_2146 (1)_out.pdbqt,2146,-3.498,2-aminoguanidine,NN=C(N)N,74.09,-1.87,90.42,2,3,0,0,5
AF-Q9LIK9-F1-model_v6,104,114 Conformer3D_COMPOUND_CID_61844_out.pdbqt,61844,-3.443,trihydroxy(methyl)silane,C[Si](O)(O)O,94.14,-1.47,60.69,3,3,0,0,5
AF-Q9LIK9-F1-model_v6,105,90 Conformer3D_COMPOUND_CID_7919_out.pdbqt,7919,-3.44,propan-2-yloxymethanedithioic acid,CC(C)OC(=S)S,136.24,1.63,9.23,2,1,1,0,7
AF-Q9LIK9-F1-model_v6,106,87 Conformer3D_COMPOUND_CID_6386_out.pdbqt,6386,-3.346,2-methylpropan-2-ol,CC(C)(C)O,74.12,0.78,20.23,1,1,0,0,5
AF-Q9LIK9-F1-model_v6,107,13 Conformer3D_COMPOUND_CID_9964064_out.pdbqt,9964064,-3.264,Not available,NS(N)=O,80.11,-1.52,69.11,1,2,0,0,4
AF-Q9LIK9-F1-model_v6,108,78 Conformer3D_COMPOUND_CID_8028_out.pdbqt,8028,-3.189,oxolane,C1CCOC1,72.11,0.8,9.23,1,0,0,0,5
AF-Q9LIK9-F1-model_v6,109,70 Conformer3D_COMPOUND_CID_6857661_out.pdbqt,6857661,-3.175,N-oxonitrous amide,O=NN=O,60.01,0.43,58.86,2,0,1,0,4
AF-Q9LIK9-F1-model_v6,110,65 Conformer3D_COMPOUND_CID_8021_out.pdbqt,8021,-3.158,N-ethylethanamine,CCNCC,73.14,0.62,12.03,1,1,2,0,5
AF-Q9LIK9-F1-model_v6,111,88 Conformer3D_COMPOUND_CID_8823_out.pdbqt,8823,-3.029,ethoxymethanedithioic acid,CCOC(=S)S,122.21,1.24,9.23,2,1,1,0,6
AF-Q9LIK9-F1-model_v6,112,80 Conformer3D_COMPOUND_CID_176 (1)_out.pdbqt,176,-2.977,acetic acid,CC(=O)O,60.05,0.09,37.3,1,1,0,0,4
AF-Q9LIK9-F1-model_v6,113,77 Conformer3D_COMPOUND_CID_176_out.pdbqt,176,-2.975,acetic acid,CC(=O)O,60.05,0.09,37.3,1,1,0,0,4
AF-Q9LIK9-F1-model_v6,114,98 Conformer3D_COMPOUND_CID_176 (2)_out.pdbqt,176,-2.954,acetic acid,CC(=O)O,60.05,0.09,37.3,1,1,0,0,4
AF-Q9LIK9-F1-model_v6,115,96 Conformer3D_COMPOUND_CID_6599_out.pdbqt,6599,-2.818,dimethylcarbamodithioic acid,CN(C)C(=S)S,121.23,0.76,3.24,1,1,0,0,6
AF-Q9LIK9-F1-model_v6,116,97 Conformer3D_COMPOUND_CID_702_out.pdbqt,702,-2.413,ethanol,CCO,46.07,-0.0,20.23,1,1,0,0,3
AF-Q9LIK9-F1-model_v6,117,62 Conformer3D_COMPOUND_CID_945_out.pdbqt,945,-2.326,nitroxyl,N=O,31.01,0.33,40.92,2,1,0,0,2
AF-Q9LIK9-F1-model_v6,118,74 Conformer3D_COMPOUND_CID_11389353_out.pdbqt,11389353,-2.308,thionitrous S-acid,O=NS,63.08,0.6,29.43,2,1,0,0,3
AF-Q9LIK9-F1-model_v6,119,67 Conformer3D_COMPOUND_CID_84878_out.pdbqt,84878,-2.273,azanylidyneoxidanium,N#[O+],30.01,-0.1,43.69,1,0,0,0,2
AF-Q9LIK9-F1-model_v6,120,63 Conformer3D_COMPOUND_CID_3001380_out.pdbqt,3001380,-1.944,nitroxyl anion,[N-]=O,30.01,0.32,39.37,1,0,0,0,2
