Ligand Name,CID,SMILES,Molecular Weight,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms
"(1S,2R,4R,5S,7S,11S,12S,15R,16S)-15-[(2S,3S,4S,5R)-3,4-dihydroxy-5,6-dimethylheptan-2-yl]-4,5-dihydroxy-2,16-dimethyl-9-oxatetracyclo[9.7.0.02,7.012,16]octadecan-8-one",13039058,CC(C)[C@@H](C)[C@H](O)[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,480.69,3.39,107.22,6,4,5,0,34
nitroxyl,945,N=O,31.01,0.33,40.92,2,1,0,0,2
nitroxyl anion,3001380,[N-]=O,30.01,0.32,39.37,1,0,0,0,2
N-(diethylamino)-N-oxidonitrous amide,6331148,CCN(CC)N([O-])N=O,132.14,0.72,58.97,4,0,4,0,9
N-ethylethanamine,8021,CCNCC,73.14,0.62,12.03,1,1,2,0,5
(Z)-diethylamino-hydroxyimino-oxidoazanium,135406888,CCN(CC)/[N+]([O-])=N/O,133.15,0.59,61.9,2,1,3,0,9
azanylidyneoxidanium,84878,N#[O+],30.01,-0.1,43.69,1,0,0,0,2
(Z)-[3-aminopropyl(propyl)amino]-hydroxyimino-oxidoazanium,135503978,CCCN(CCCN)/[N+]([O-])=N/O,176.22,0.31,87.92,3,2,6,0,12
N-(diethylamino)-N-oxidonitrous amide,6331148,CCN(CC)N([O-])N=O,132.14,0.72,58.97,4,0,4,0,9
N-oxonitrous amide,6857661,O=NN=O,60.01,0.43,58.86,2,0,1,0,4
2-acetamido-3-methyl-3-nitrososulfanylbutanoic acid,5231,CC(=O)N[C@H](C(=O)O)C(C)(C)SN=O,220.25,0.77,95.83,5,2,5,0,14
(Z)-ethenoxyimino-oxido-pyrrolidin-1-ylazanium,9605288,C=CO/N=[N+](\[O-])N1CCCC1,157.17,1.03,50.9,3,0,3,0,11
2-sulfanylidene-1H-pyrimidin-4-one,1269845,O=c1cc[nH]c(=S)[nH]1,128.16,0.43,48.65,2,2,0,1,8
thionitrous S-acid,11389353,O=NS,63.08,0.6,29.43,2,1,0,0,3
2-nitrososulfanylethanol,108022,O=NSCCO,107.13,0.39,49.66,4,1,3,0,6
2-aminoguanidine,2146,NN=C(N)N,74.09,-1.87,90.42,2,3,0,0,5
acetic acid,176,CC(=O)O,60.05,0.09,37.3,1,1,0,0,4
oxolane,8028,C1CCOC1,72.11,0.8,9.23,1,0,0,0,5
1H-imidazole-2-carbaldehyde,24955,O=Cc1ncc[nH]1,96.09,0.22,45.75,2,1,1,1,7
acetic acid,176,CC(=O)O,60.05,0.09,37.3,1,1,0,0,4
3-prop-2-enoyloxypropane-1-sulfonic acid,85065,C=CC(=O)OCCCS(=O)(=O)O,194.21,-0.01,80.67,4,1,5,0,12
"2,5-dihydroxybenzenesulfonic acid",17507,O=S(=O)(O)c1cc(O)ccc1O,190.18,0.34,94.83,4,3,1,1,12
"(2S,3S,4S,5R)-2,3,4,5-tetrahydroxyhexanedioic acid",33037,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,210.14,-3.4,155.52,6,6,5,0,14
2-diazoacetic acid,53438496,N#[N+]C=C([O-])O,86.05,-0.44,71.44,3,1,0,0,6
nonan-5-yl hydrogen sulfate,56633199,CCCCC(CCCC)OS(=O)(=O)O,224.32,2.55,63.6,3,1,8,0,14
4-nitrophenol,980,O=[N+]([O-])c1ccc(O)cc1,139.11,1.3,63.37,3,1,1,1,10
2-methylpropan-2-ol,6386,CC(C)(C)O,74.12,0.78,20.23,1,1,0,0,5
ethoxymethanedithioic acid,8823,CCOC(=S)S,122.21,1.24,9.23,2,1,1,0,6
"9-methyl-3-(2H-tetrazol-5-yl)pyrido[1,2-a]pyrimidin-4-one",57697,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12,228.22,0.18,88.83,5,1,1,3,17
propan-2-yloxymethanedithioic acid,7919,CC(C)OC(=S)S,136.24,1.63,9.23,2,1,1,0,7
2-phenylphenol,7017,Oc1ccccc1-c1ccccc1,170.21,3.06,20.23,1,1,1,2,13
2-methylbutan-2-ol,6405,CCC(C)(C)O,88.15,1.17,20.23,1,1,1,0,6
diethoxy-hydroxy-sulfanylidene-lambda5-phosphane,655,CCOP(O)(=S)OCC,170.17,1.28,38.69,3,1,4,0,9
4-aminobenzoic acid,978,Nc1ccc(C(=O)O)cc1,137.14,0.97,63.32,2,2,1,1,10
2-methylpropoxymethanedithioic acid,25581,CC(C)COC(=S)S,150.27,1.87,9.23,2,1,2,0,8
dimethylcarbamodithioic acid,6599,CN(C)C(=S)S,121.23,0.76,3.24,1,1,0,0,6
ethanol,702,CCO,46.07,-0.0,20.23,1,1,0,0,3
acetic acid,176,CC(=O)O,60.05,0.09,37.3,1,1,0,0,4
sulfuric acid,1118,O=S(=O)(O)O,98.08,-0.65,74.6,2,2,0,0,5
2-(trimethylazaniumyl)acetate,247,C[N+](C)(C)CC(=O)[O-],117.15,-1.56,40.13,2,0,2,0,8
