Protein,Rank,Ligand_File,CID,Best_Affinity
AF-P92979-F1-model_v6,120,63 Conformer3D_COMPOUND_CID_3001380_out.pdbqt,3001380,-2.167
AF-Q9LIK9-F1-model_v6,1,61 Conformer3D_COMPOUND_CID_13039058_out.pdbqt,13039058,-8.931
AF-Q9LIK9-F1-model_v6,2,40 Conformer3D_COMPOUND_CID_145925915_out.pdbqt,145925915,-8.776
AF-Q9LIK9-F1-model_v6,3,1 Conformer3D_COMPOUND_CID_10238_out.pdbqt,10238,-8.469
AF-Q9LIK9-F1-model_v6,4,105 Conformer3D_COMPOUND_CID_10177_out.pdbqt,10177,-8.464
AF-Q9LIK9-F1-model_v6,5,109 Conformer3D_COMPOUND_CID_136510486_out.pdbqt,136510486,-8.279
AF-Q9LIK9-F1-model_v6,6,9 Conformer3D_COMPOUND_CID_5281295_out.pdbqt,5281295,-8.135
AF-Q9LIK9-F1-model_v6,7,54 Conformer3D_COMPOUND_CID_71749111_out.pdbqt,71749111,-7.889
AF-Q9LIK9-F1-model_v6,8,89 Conformer3D_COMPOUND_CID_57697_out.pdbqt,57697,-7.836
AF-Q9LIK9-F1-model_v6,9,52 Conformer3D_COMPOUND_CID_15382325_out.pdbqt,15382325,-7.82
AF-Q9LIK9-F1-model_v6,10,36 Conformer3D_COMPOUND_CID_151505_out.pdbqt,151505,-7.787
AF-Q9LIK9-F1-model_v6,11,16 Conformer3D_COMPOUND_CID_57354748_out.pdbqt,57354748,-7.656
AF-Q9LIK9-F1-model_v6,12,55 Conformer3D_COMPOUND_CID_162661094_out.pdbqt,162661094,-7.63
AF-Q9LIK9-F1-model_v6,13,117 Conformer3D_COMPOUND_CID_439924_out.pdbqt,439924,-7.506
AF-Q9LIK9-F1-model_v6,14,51 Conformer3D_COMPOUND_CID_896_out.pdbqt,896,-7.503
AF-Q9LIK9-F1-model_v6,15,104 Conformer3D_COMPOUND_CID_6303_out.pdbqt,6303,-7.367
AF-Q9LIK9-F1-model_v6,16,25 Conformer3D_COMPOUND_CID_58319023_out.pdbqt,58319023,-7.357
AF-Q9LIK9-F1-model_v6,17,59 Conformer3D_COMPOUND_CID_1785786_out.pdbqt,1785786,-7.354
AF-Q9LIK9-F1-model_v6,18,15 Conformer3D_COMPOUND_CID_45117541_out.pdbqt,45117541,-7.348
AF-Q9LIK9-F1-model_v6,19,53 Conformer3D_COMPOUND_CID_91244073_out.pdbqt,91244073,-7.328
AF-Q9LIK9-F1-model_v6,20,110 Conformer3D_COMPOUND_CID_450274_out.pdbqt,450274,-7.314
AF-Q9LIK9-F1-model_v6,21,58 Conformer3D_COMPOUND_CID_189748_out.pdbqt,189748,-7.202
AF-Q9LIK9-F1-model_v6,22,60 Conformer3D_COMPOUND_CID_129373222_out.pdbqt,129373222,-7.198
AF-Q9LIK9-F1-model_v6,23,24 Conformer3D_COMPOUND_CID_165879_out.pdbqt,165879,-7.152
AF-Q9LIK9-F1-model_v6,24,14 Conformer3D_COMPOUND_CID_45117529_out.pdbqt,45117529,-7.039
AF-Q9LIK9-F1-model_v6,25,32 Conformer3D_COMPOUND_CID_146037329_out.pdbqt,146037329,-7.016
AF-Q9LIK9-F1-model_v6,26,38 Conformer3D_COMPOUND_CID_21864615_out.pdbqt,21864615,-6.97
AF-Q9LIK9-F1-model_v6,27,39 Conformer3D_COMPOUND_CID_19598963_out.pdbqt,19598963,-6.847
AF-Q9LIK9-F1-model_v6,28,11 Conformer3D_COMPOUND_CID_13295139_out.pdbqt,13295139,-6.777
AF-Q9LIK9-F1-model_v6,29,4 Conformer3D_COMPOUND_CID_54947465_out.pdbqt,54947465,-6.762
AF-Q9LIK9-F1-model_v6,30,43 Conformer3D_COMPOUND_CID_121226585_out.pdbqt,121226585,-6.746
AF-Q9LIK9-F1-model_v6,31,112 Conformer3D_COMPOUND_CID_16205339_out.pdbqt,16205339,-6.732
AF-Q9LIK9-F1-model_v6,32,56 Conformer3D_COMPOUND_CID_154733091_out.pdbqt,154733091,-6.648
